#,Player          ,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,LeBron James,56,37.2,30.3,11.4,21.8,52.4,2.9,8.0,35.9,4.5,6.0,75.6,1.1,7.1,8.2,6.2,1.3,1.1,3.5,31.7
2,Joel Embiid,65,33.6,30.2,9.6,19.5,49.3,1.4,3.7,36.8,9.6,11.8,81.7,2.1,9.4,11.6,4.2,1.1,1.5,3.1,33.5
3,Giannis Antetokounmpo,64,33.0,30.1,10.3,18.7,55.4,1.1,3.6,29.6,8.3,11.5,72.1,2.0,9.6,11.6,5.8,1.1,1.4,3.3,35.1
4,Luka Doncic,62,35.6,28.3,9.9,21.7,45.6,3.1,8.7,35.3,5.5,7.4,74.4,0.9,8.3,9.1,8.7,1.2,0.5,4.5,29.7
5,Trae Young,72,34.8,28.3,9.3,20.3,45.9,3.1,8.0,38.3,6.6,7.3,90.3,0.6,3.1,3.8,9.6,1.0,0.1,4.0,27.1
6,DeMar DeRozan,73,36.2,28.0,10.2,20.3,50.3,0.7,1.9,35.5,6.9,7.9,87.7,0.7,4.5,5.3,5.0,0.9,0.3,2.3,26.1
7,Ja Morant,56,33.3,27.6,10.2,20.8,49.3,1.5,4.5,34.0,5.6,7.3,76.2,1.3,4.4,5.7,6.7,1.2,0.4,3.4,25.8
8,Jayson Tatum,74,36.1,27.0,9.4,20.7,45.2,3.0,8.6,35.1,5.3,6.2,85.4,1.1,6.8,8.0,4.4,1.0,0.6,2.8,25.9
9,Nikola Jokic,72,33.3,26.8,10.1,17.4,58.3,1.3,3.9,33.9,5.2,6.4,81.1,2.8,10.9,13.7,8.0,1.4,0.9,3.8,38.5
10,Devin Booker,66,34.5,26.6,9.7,20.8,46.4,2.7,7.0,37.7,4.7,5.4,86.5,0.7,4.3,5.0,4.9,1.2,0.4,2.4,23.8
11,Donovan Mitchell,65,33.7,26.1,9.3,20.5,45.4,3.5,9.9,35.9,4.0,4.6,85.1,0.8,3.3,4.1,5.4,1.5,0.2,3.0,22.3
12,Stephen Curry,64,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38.0,4.3,4.7,92.3,0.5,4.7,5.2,6.3,1.3,0.4,3.2,24.4
13,Zach LaVine,65,34.9,24.7,8.5,17.9,47.7,2.8,7.2,39.3,4.8,5.7,85.1,0.3,4.3,4.6,4.5,0.6,0.3,2.6,22.0
14,Karl-Anthony Towns,72,33.4,24.6,8.7,16.3,53.3,2.0,4.9,41.0,5.2,6.3,82.5,2.6,7.2,9.8,3.6,1.0,1.1,3.1,28.3
15,Shai Gilgeous-Alexander,56,34.7,24.5,8.5,18.8,45.3,1.6,5.3,30.0,5.9,7.2,81.0,0.7,4.3,5.0,5.9,1.3,0.8,2.8,23.1
16,Jaylen Brown,63,33.7,23.7,8.7,18.4,47.4,2.5,7.1,36.0,3.7,4.8,76.7,0.8,5.3,6.1,3.4,1.0,0.3,2.7,21.0
17,De'Aaron Fox,59,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75.0,0.4,3.5,3.9,5.6,1.2,0.4,2.8,20.2
18,CJ McCollum,57,35.3,22.6,8.8,19.1,46.3,3.0,7.7,38.8,1.9,2.7,71.0,0.9,3.6,4.5,5.2,1.1,0.4,2.1,20.6
19,Pascal Siakam,65,37.9,22.4,8.6,17.4,49.3,1.1,3.2,35.6,4.1,5.5,74.6,1.8,6.5,8.4,5.2,1.2,0.6,2.7,24.8
20,James Harden,62,37.1,22.4,6.3,15.4,41.2,2.3,6.9,33.4,7.4,8.4,87.5,0.9,7.0,7.9,10.1,1.3,0.6,4.4,27.7
21,Darius Garland,65,35.8,21.6,7.9,17.2,46.1,2.6,6.7,38.0,3.2,3.6,89.7,0.6,2.7,3.3,8.6,1.3,0.1,3.8,21.6
22,Dejounte Murray,67,34.8,21.2,8.5,18.3,46.3,1.4,4.3,33.0,2.8,3.6,78.8,1.2,7.2,8.4,9.3,2.0,0.3,2.7,28.0
23,Anthony Edwards,69,34.4,21.1,7.6,17.3,43.8,3.0,8.4,36.0,3.0,3.8,78.3,0.9,3.9,4.8,3.8,1.5,0.7,2.7,18.7
24,Tyler Herro,64,32.6,20.6,7.6,17.1,44.3,2.6,6.7,39.3,2.8,3.3,86.2,0.5,4.5,5.0,3.9,0.7,0.1,2.6,17.7
25,Fred VanVleet,64,37.9,20.4,6.8,16.8,40.7,3.8,9.8,38.1,3.0,3.4,87.7,0.7,3.8,4.5,6.6,1.7,0.5,2.6,20.8
26,Miles Bridges,76,35.8,20.3,7.5,15.3,49.1,1.9,5.9,32.8,3.4,4.2,79.8,1.2,5.9,7.1,3.8,0.9,0.9,1.9,22.4
27,Khris Middleton,63,32.5,20.1,6.8,15.4,44.1,2.4,6.5,37.4,4.1,4.6,89.0,0.7,4.8,5.4,5.4,1.1,0.3,2.9,20.3
28,Julius Randle,72,35.3,20.1,7.1,17.3,41.1,1.7,5.4,30.8,4.2,5.6,75.6,1.7,8.2,9.9,5.1,0.7,0.5,3.4,21.5
29,RJ Barrett,68,34.7,20.1,7.0,17.0,41.0,2.0,5.8,34.6,4.1,5.7,72.1,1.0,4.9,5.9,2.9,0.6,0.2,2.2,15.9
30,LaMelo Ball,71,32.3,19.9,7.1,16.7,42.5,2.8,7.5,37.9,2.9,3.3,86.9,1.5,5.2,6.7,7.5,1.6,0.4,3.2,22.9
31,Terry Rozier,69,33.9,19.3,7.0,16.0,44.0,3.1,8.2,37.7,2.1,2.5,85.0,0.8,3.6,4.3,4.4,1.3,0.3,1.4,19.0
32,Domantas Sabonis,62,34.5,18.9,7.1,12.5,57.3,0.6,2.0,31.2,4.0,5.4,74.1,3.2,8.9,12.1,5.2,1.0,0.4,3.1,27.8
33,Jrue Holiday,63,33.4,18.7,7.3,14.5,50.2,2.0,4.8,41.6,2.1,2.7,76.7,1.0,3.5,4.5,6.8,1.7,0.4,2.8,21.4
34,Jordan Poole,72,29.9,18.4,6.2,13.8,45.1,2.8,7.5,36.6,3.2,3.5,92.0,0.4,2.9,3.3,3.8,0.8,0.3,2.4,16.4
35,Russell Westbrook,77,34.3,18.4,7.0,15.8,44.4,1.0,3.4,29.4,3.4,5.1,66.5,1.4,6.1,7.5,7.1,1.0,0.3,3.8,19.9
36,Desmond Bane,73,30.0,18.2,6.7,14.5,46.0,3.0,7.0,43.0,1.8,2.0,89.8,0.6,3.8,4.4,2.8,1.2,0.4,1.5,17.5
37,Gary Trent Jr.,66,34.9,18.1,6.3,15.4,41.0,3.0,7.9,38.0,2.5,3.0,84.8,0.4,2.4,2.7,2.0,1.8,0.3,1.1,14.3
38,D'Angelo Russell,64,32.0,18.1,6.2,15.0,41.0,2.7,8.0,34.0,3.1,3.7,82.8,0.4,2.9,3.3,7.0,1.0,0.3,2.5,17.7
39,Jonas Valanciunas,71,30.9,18.1,7.0,12.9,54.2,0.8,2.2,36.1,3.3,4.0,81.9,3.1,8.5,11.6,2.6,0.6,0.8,2.4,24.7
40,Nikola Vucevic,70,33.5,18.0,7.7,15.9,48.0,1.5,4.6,31.8,1.3,1.7,75.2,2.0,9.2,11.2,3.3,1.0,1.0,1.8,24.0
41,Bojan Bogdanovic,66,30.8,18.0,6.1,13.4,45.6,2.6,6.8,38.7,3.1,3.6,85.8,0.8,3.4,4.2,1.8,0.4,0.0,1.7,14.9
42,Christian Wood,68,30.8,17.9,6.5,12.9,50.1,1.9,4.9,39.0,3.0,4.9,62.3,1.6,8.5,10.1,2.3,0.8,1.0,1.9,21.9
43,Tobias Harris,69,35.0,17.5,6.9,14.2,48.4,1.3,3.8,35.6,2.4,2.9,83.9,1.1,5.8,6.9,3.5,0.6,0.6,1.6,19.7
44,Cade Cunningham,62,32.4,17.3,6.7,16.0,41.9,1.8,5.7,31.9,2.1,2.5,83.9,0.9,4.6,5.5,5.5,1.2,0.7,3.6,16.9
45,Anfernee Simons,57,29.5,17.3,6.2,14.0,44.3,3.1,7.8,40.5,1.8,2.0,88.8,0.5,2.2,2.6,3.9,0.5,0.1,2.0,14.5
46,Reggie Jackson,72,31.3,17.2,6.5,16.4,39.5,2.3,6.9,33.3,1.9,2.2,84.5,0.5,3.1,3.7,4.8,0.7,0.2,2.3,13.9
47,Andrew Wiggins,70,31.9,17.1,6.5,14.0,46.5,2.1,5.4,38.9,2.0,3.2,63.8,1.2,3.3,4.5,2.2,1.1,0.7,1.5,15.5
48,Tyrese Maxey,71,35.5,17.1,6.4,13.3,47.9,1.7,4.0,41.7,2.8,3.2,86.0,0.4,2.9,3.3,4.3,0.7,0.4,1.1,17.3
49,Kyle Kuzma,66,33.4,17.1,6.4,14.2,45.2,1.9,5.7,34.1,2.4,3.3,71.2,1.1,7.4,8.5,3.5,0.6,0.9,2.6,19.4
50,Deandre Ayton,56,29.5,17.1,7.6,11.9,63.6,0.1,0.3,35.3,1.9,2.5,74.3,2.5,7.7,10.2,1.4,0.7,0.7,1.6,23.4
51,Keldon Johnson,72,31.8,16.9,6.2,13.4,46.6,2.1,5.3,40.5,2.3,3.0,75.6,1.1,5.0,6.1,2.0,0.7,0.2,1.3,16.8
52,Harrison Barnes,73,34.0,16.8,5.2,11.0,47.1,1.9,4.7,40.7,4.6,5.5,82.7,1.1,4.5,5.6,2.5,0.7,0.2,1.6,17.5
53,Jalen Green,64,31.6,16.8,5.9,14.0,42.1,2.3,6.8,34.3,2.7,3.4,80.3,0.5,2.8,3.3,2.6,0.7,0.3,2.0,13.0
54,Cole Anthony,65,31.7,16.3,5.5,14.0,39.1,2.0,6.0,33.8,3.3,3.9,85.4,0.5,4.9,5.4,5.7,0.7,0.3,2.6,16.6
55,Saddiq Bey,79,33.2,16.3,5.6,13.9,40.0,2.6,7.5,35.2,2.5,3.1,82.4,1.3,4.2,5.5,2.8,0.9,0.2,1.2,15.7
56,Jaren Jackson Jr.,75,27.2,16.3,5.5,13.3,41.8,1.6,5.1,31.9,3.6,4.3,81.9,1.6,4.3,5.8,1.1,0.9,2.3,1.7,16.2
57,Jalen Brunson,76,32.1,16.2,6.4,12.8,50.1,1.2,3.2,37.1,2.2,2.6,84.1,0.5,3.3,3.9,4.8,0.9,0.0,1.6,17.4
58,Jarrett Allen,56,32.3,16.1,6.6,9.7,67.7,0.0,0.2,10.0,2.9,4.2,70.8,3.4,7.3,10.8,1.6,0.8,1.3,1.7,24.6
59,Jordan Clarkson,75,27.1,16.1,5.9,14.2,41.8,2.4,7.6,31.7,1.8,2.2,82.4,0.8,2.5,3.4,2.3,0.8,0.2,1.6,12.6
60,Buddy Hield,78,30.7,15.5,5.4,13.4,40.5,3.2,8.8,36.7,1.4,1.6,87.0,0.8,3.5,4.3,2.8,0.9,0.3,1.9,13.7
61,Scottie Barnes,70,35.5,15.4,6.2,12.7,49.0,0.8,2.6,30.1,2.2,2.9,73.8,2.6,4.9,7.5,3.5,1.1,0.8,1.9,19.3
62,Rudy Gobert,62,32.2,15.3,5.5,7.7,70.9,0.0,0.1,0.0,4.4,6.4,69.3,3.7,11.0,14.7,1.1,0.7,2.1,1.8,28.0
63,Franz Wagner,78,31.1,15.3,5.8,12.5,46.8,1.2,3.4,35.7,2.4,2.8,86.3,1.1,3.5,4.6,2.9,0.9,0.4,1.5,15.6
64,Tyrese Haliburton,74,34.9,15.2,5.5,11.8,46.8,2.1,5.1,41.2,2.0,2.4,83.8,0.8,3.3,4.0,8.2,1.7,0.6,2.5,20.6
65,Kelly Oubre Jr.,72,26.7,15.2,5.5,12.5,43.8,2.5,7.4,34.5,1.6,2.5,66.7,1.1,2.9,4.0,1.1,1.0,0.4,0.9,12.9
66,Seth Curry,62,33.5,15.0,5.6,11.6,48.6,2.5,5.8,42.4,1.3,1.5,87.9,0.3,2.8,3.1,3.6,0.8,0.2,1.7,15.0
67,Jusuf Nurkic,56,28.2,15.0,5.7,10.7,53.5,0.3,1.0,26.8,3.3,4.8,69.0,3.0,8.1,11.1,2.8,1.1,0.6,2.6,21.6
68,Wendell Carter Jr.,62,29.9,15.0,5.8,11.0,52.5,1.1,3.5,32.7,2.3,3.3,69.1,2.2,8.2,10.5,2.8,0.6,0.7,1.9,21.3
69,Evan Mobley,67,33.9,14.9,6.1,12.0,50.6,0.3,1.4,25.3,2.4,3.6,66.4,2.0,6.2,8.3,2.5,0.8,1.6,2.0,19.0
70,Aaron Gordon,73,31.6,14.9,5.7,11.1,51.9,1.2,3.5,33.3,2.2,3.0,74.2,1.7,4.1,5.8,2.5,0.6,0.6,1.7,16.5
71,Chris Paul,63,33.0,14.9,5.6,11.4,49.2,1.0,3.1,32.1,2.7,3.2,83.5,0.3,4.0,4.3,10.7,1.9,0.3,2.4,23.4
72,Bogdan Bogdanovic,59,29.2,14.8,5.4,12.4,43.2,2.6,7.1,35.9,1.5,1.8,85.8,0.5,3.4,3.8,3.0,1.1,0.2,1.2,14.5
73,Will Barton,69,32.0,14.8,5.6,12.7,44.0,2.2,6.0,36.5,1.4,1.8,79.7,0.6,4.2,4.8,3.9,0.8,0.4,1.8,15.4
74,Bobby Portis,69,28.3,14.7,5.8,12.1,47.8,1.9,4.7,39.4,1.2,1.6,75.2,2.5,6.6,9.1,1.2,0.8,0.7,1.3,18.4
75,Kevin Porter Jr.,58,30.8,14.7,5.2,12.7,40.8,2.4,6.5,36.8,1.9,3.1,62.8,0.7,3.6,4.3,6.2,1.1,0.4,3.2,14.8
76,Mikal Bridges,78,35.5,14.4,5.7,10.7,53.2,1.5,3.9,37.1,1.6,1.9,82.8,0.9,3.4,4.3,2.3,1.2,0.5,0.8,16.5
77,Lauri Markkanen,58,31.0,14.4,5.0,11.4,44.0,2.1,6.1,34.8,2.2,2.6,86.0,1.0,4.7,5.7,1.4,0.8,0.5,0.9,15.1
78,Evan Fournier,77,29.5,14.2,5.1,12.1,42.0,3.0,7.7,39.3,1.0,1.4,71.2,0.4,2.2,2.6,2.1,1.0,0.2,1.3,11.3
79,Spencer Dinwiddie,64,30.0,13.8,4.6,11.1,41.2,1.7,5.0,33.3,3.0,3.8,77.5,0.7,3.6,4.2,5.3,0.6,0.2,1.6,15.2
80,Mike Conley,69,28.5,13.7,4.8,10.9,43.6,2.4,5.8,41.0,1.8,2.2,81.2,0.7,2.3,3.0,5.3,1.3,0.3,1.7,15.3
81,Dennis Schroder,64,28.7,13.5,4.9,11.3,43.1,1.3,3.9,34.4,2.5,2.9,85.3,0.5,2.8,3.3,4.6,0.8,0.1,2.2,13.4
82,Jakob Poeltl,65,29.0,13.4,6.0,9.8,61.8,0.0,0.0,100,1.4,2.8,49.4,3.9,5.3,9.2,2.8,0.7,1.8,1.6,21.2
83,Eric Gordon,57,29.3,13.4,4.7,9.9,47.5,2.2,5.3,41.2,1.8,2.4,77.8,0.3,1.7,2.0,2.7,0.5,0.3,1.9,11.3
84,Malik Monk,72,28.0,13.4,5.0,10.6,47.3,2.2,5.7,39.1,1.1,1.4,77.9,0.5,2.8,3.3,2.8,0.8,0.4,1.5,13.3
85,Carmelo Anthony,68,26.0,13.4,4.6,10.5,44.3,2.2,5.8,37.6,1.9,2.3,82.8,0.9,3.2,4.1,1.0,0.7,0.8,0.9,12.8
86,Kyle Lowry,62,33.9,13.4,4.3,10.0,43.6,2.3,6.1,37.5,2.4,2.8,85.5,0.5,4.0,4.5,7.6,1.0,0.3,2.7,18.1
87,Kevin Love,71,22.6,13.4,4.3,10.2,42.3,2.5,6.4,38.4,2.3,2.7,84.2,1.1,6.0,7.1,2.2,0.4,0.2,1.3,15.6
88,Kentavious Caldwell-Pope,75,30.3,13.3,4.7,10.8,43.3,2.1,5.3,39.3,1.8,2.1,89.0,0.5,2.9,3.4,1.9,1.1,0.3,1.2,12.4
89,Derrick White,72,29.4,13.3,4.5,10.8,41.9,1.5,4.9,30.6,2.8,3.2,87.2,0.5,2.9,3.5,5.0,0.9,0.8,1.6,15.1
90,Montrezl Harrell,68,23.2,13.2,5.0,7.9,63.7,0.1,0.3,23.5,3.1,4.3,71.7,2.1,4.1,6.2,2.0,0.4,0.6,1.0,17.3
91,Monte Morris,73,29.9,12.8,5.0,10.3,48.7,1.7,4.2,40.0,1.0,1.2,86.9,0.3,2.7,3.0,4.5,0.8,0.2,1.0,14.6
92,Cameron Johnson,62,26.3,12.7,4.3,9.2,46.6,2.6,6.0,43.6,1.5,1.7,87.0,0.6,3.5,4.1,1.5,0.8,0.2,0.7,13.5
93,Coby White,58,27.3,12.6,4.6,10.6,43.2,2.2,5.8,37.4,1.3,1.5,86.2,0.3,2.7,3.0,2.9,0.4,0.2,1.1,11.8
94,Malik Beasley,76,25.0,12.1,4.2,10.8,39.2,3.0,8.1,37.7,0.6,0.8,81.0,0.3,2.6,2.9,1.5,0.5,0.2,0.6,10.0
95,Devonte' Graham,72,29.0,12.1,4.0,11.0,36.1,2.6,7.6,34.2,1.6,1.8,84.2,0.5,1.9,2.4,4.2,0.9,0.2,1.4,11.1
96,Devin Vassell,68,27.1,12.0,4.5,10.7,42.6,1.9,5.3,35.2,1.1,1.3,82.4,0.6,3.7,4.3,1.9,1.1,0.6,0.8,12.7
96,Lonnie Walker IV,68,23.0,12.0,4.4,10.9,40.6,1.6,5.0,31.3,1.6,2.1,77.5,0.3,2.3,2.5,2.2,0.6,0.3,1.0,9.7
96,Marcus Smart,68,32.6,12.0,4.2,10.1,41.4,1.6,5.0,32.2,2.1,2.6,79.1,0.6,3.3,3.9,5.9,1.7,0.3,2.2,15.0
99,Kevin Huerter,70,29.6,12.0,4.6,10.3,45.2,2.1,5.5,38.8,0.6,0.7,80.0,0.4,2.9,3.4,2.7,0.7,0.4,1.3,12.1
100,Jae'Sean Tate,75,26.3,11.9,4.7,9.4,50.3,0.8,2.6,31.1,1.7,2.4,70.9,1.7,3.7,5.4,2.9,0.9,0.5,1.8,14.5
101,Luke Kennard,67,27.6,11.8,4.0,9.0,44.7,2.7,6.0,44.8,1.0,1.1,90.5,0.3,3.1,3.3,2.1,0.6,0.1,0.8,11.9
102,Alec Burks,78,28.3,11.6,3.5,8.9,39.1,1.9,4.8,40.2,2.7,3.2,82.5,0.6,4.3,4.9,2.9,1.1,0.3,1.0,13.7
103,Patty Mills,77,29.1,11.5,4.1,10.0,40.6,2.8,7.1,39.8,0.6,0.7,82.1,0.2,1.7,2.0,2.3,0.6,0.2,0.9,9.7
104,Danilo Gallinari,63,25.0,11.3,3.7,8.8,42.5,1.6,4.3,37.0,2.2,2.4,90.3,0.5,4.1,4.6,1.6,0.4,0.2,0.5,12.3
105,Davion Mitchell,71,27.0,11.2,4.6,11.1,41.6,1.4,4.3,31.8,0.6,1.0,63.4,0.5,1.8,2.3,3.7,0.8,0.3,1.5,10.0
106,Gary Harris,61,28.4,11.1,3.9,9.1,43.4,1.9,5.0,38.4,1.4,1.6,87.4,0.6,1.4,2.0,1.8,1.0,0.1,1.0,9.7
107,Grayson Allen,65,27.4,11.1,3.9,8.7,44.6,2.4,5.9,40.9,0.9,1.1,85.7,0.5,2.9,3.4,1.5,0.7,0.2,0.7,11.3
108,Hamidou Diallo,58,21.9,11.0,4.5,9.1,49.6,0.4,1.6,24.7,1.6,2.4,65.0,1.2,3.6,4.8,1.3,1.2,0.3,1.0,12.1
109,Immanuel Quickley,75,22.6,10.9,3.5,9.0,39.0,1.7,4.9,34.6,2.2,2.5,88.8,0.4,2.7,3.0,3.3,0.7,0.0,1.2,11.0
110,Cameron Payne,56,22.0,10.9,4.2,10.1,41.1,1.2,3.6,33.7,1.3,1.6,84.3,0.4,2.6,3.0,4.8,0.7,0.3,1.8,11.7
111,Dorian Finney-Smith,77,33.2,10.9,4.0,8.7,46.2,2.1,5.4,38.3,0.7,1.1,67.5,1.5,3.2,4.7,1.9,1.1,0.5,1.0,13.0
112,Duncan Robinson,76,26.0,10.9,3.6,9.2,39.6,2.9,7.9,36.7,0.7,0.8,83.6,0.3,2.3,2.6,1.6,0.5,0.2,0.8,9.2
113,Terance Mann,77,28.9,10.8,4.1,8.5,48.3,0.9,2.6,36.0,1.6,2.1,78.0,1.3,4.0,5.4,2.6,0.7,0.2,1.0,13.8
114,Clint Capela,70,27.6,10.8,4.9,8.1,60.5,0.0,0.0,0.0,1.1,2.3,46.5,3.7,8.1,11.8,1.3,0.7,1.3,0.6,20.9
115,Darius Bazley,69,27.9,10.8,4.0,9.4,42.2,1.2,3.9,29.7,1.7,2.5,68.8,1.0,5.3,6.3,1.4,0.8,1.0,1.3,12.9
116,Nickeil Alexander-Walker,63,23.0,10.8,4.0,10.7,37.0,1.6,5.3,30.7,1.3,1.7,74.1,0.6,2.3,2.9,2.4,0.7,0.4,1.5,8.6
